地点コード,延床面積(㎡),有効率(%),有効面積(㎡),階層1,階層2,階層3,階層4,階層5,階層1_共込単価(円/㎡),階層1_共込単価(円/坪),階層2_共込単価(円/㎡),階層2_共込単価(円/坪),階層3_共込単価(円/㎡),階層3_共込単価(円/坪),階層4_共込単価(円/㎡),階層4_共込単価(円/坪),階層5_共込単価(円/㎡),階層5_共込単価(円/坪),階層1_有効面積(㎡),階層2_有効面積(㎡),階層3_有効面積(㎡),階層4_有効面積(㎡),階層5_有効面積(㎡),駐車場代単価（円/台）,駐車場台数,緯度,経度,用途,構造・階層,評価書,用途カテゴリ
熊本南9-1,1400,100,1400,1階：倉庫,2階：事務所,,,,1400,4628,1850,6116,,,,,,,1200,200,0,0,0,0,0,32.75848694444444,130.69478305555555,事務所兼倉庫,S造地上2階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/43/2026431040901.html,工場・倉庫
熊本南9-2,1100,100,1100,(一括)1～2階：倉庫・事務所,,,,,1650,5455,,,,,,,,,1100,0,0,0,0,0,0,32.76906388888889,130.70652,倉庫付き事務所,S造地上2階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/43/2026431040902.html,工場・倉庫
熊本北-1,200,100,200,1階：住宅,2階：住宅,,,,1310,4331,1340,4430,,,,,,,100,100,0,0,0,0,0,32.85467527777778,130.7883411111111,共同住宅,LS造地上2階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/43/2026431050001.html,戸建住宅系
熊本北-4,200,100,200,1階：住宅,2階：住宅,,,,1370,4529,1400,4628,,,,,,,100,100,0,0,0,0,0,32.83662388888889,130.71520611111112,共同住宅,LS造地上2階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/43/2026431050004.html,戸建住宅系
熊本北-7,200,100,200,1階：住宅,2階：住宅,,,,1410,4661,1440,4760,,,,,,,100,100,0,0,0,0,0,32.84159611111111,130.76131388888888,共同住宅,LS造地上2階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/43/2026431050007.html,戸建住宅系
熊本北-10,270,100,270,1階：住宅,2階：住宅,,,,1400,4628,1450,4793,,,,,,,135,135,0,0,0,0,0,32.855178055555555,130.76815694444443,共同住宅,LS造地上2階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/43/2026431050010.html,戸建住宅系
熊本北-19,260,100,260,1階：住宅,2階：住宅,,,,1270,4198,1290,4264,,,,,,,130,130,0,0,0,0,0,32.8316475,130.72661694444443,共同住宅,LS造地上2階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/43/2026431050019.html,戸建住宅系
熊本北5-1,650,100,650,1階：店舗,,,,,2200,7273,,,,,,,,,650,0,0,0,0,0,0,32.849226944444446,130.7442438888889,店舗,S造地上1階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/43/2026431050501.html,店舗系
熊本北5-2,320,100,320,1階：店舗,2階：共同住宅,,,,1880,6215,1230,4066,,,,,,,160,160,0,0,0,0,0,32.896519999999995,130.68956111111112,店舗兼共同住宅,LS造地上2階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/43/2026431050502.html,店舗系
熊本北5-3,720,88.3,636,1階：店舗,2～3階：共同住宅,,,,2700,8926,1400,4628,,,,,,,204,216,0,0,0,0,0,32.82696111111111,130.72231888888888,店舗兼共同住宅,S造地上3階建,https://www.reinfolib.mlit.go.jp/landPrices_/realEstateAppraisalReport/2026/43/2026431050503.html,店舗＆共同住宅
